# Number of items
90
# Stacking height
6
# Number of stacks
54
# Item name, Appearance, and Item weight
# (Appearance: 0 for I^{fix}, 1 for I^1, 2 for I^2)
   001     0     5
   002     0     9
   003     0    13
   004     0    57
   005     0    34
   006     0    51
   007     0     8
   008     0     5
   009     0    11
   010     0    18
   011     0    55
   012     0    11
   013     0     7
   014     0    37
   015     0    21
   016     0    39
   017     0     9
   018     0    72
   019     0    15
   020     0    13
   021     0    91
   022     0     5
   023     0    27
   024     0    61
   025     0    15
   026     0    85
   027     0    48
   028     0     9
   029     0     9
   030     0    44
   031     0    47
   032     0    15
   033     0    15
   034     1    29
   035     1    48
   036     1    93
   037     1    74
   038     1    36
   039     1    47
   040     1    52
   041     1    59
   042     1    38
   043     1     5
   044     1    27
   045     1    39
   046     1    33
   047     1    47
   048     1    32
   049     1    41
   050     1    88
   051     1     8
   052     1    84
   053     1   100
   054     1    61
   055     1    53
   056     1    84
   057     1    12
   058     1    35
   059     1    59
   060     1    18
   061     1    89
   062     1    95
   063     2    90
   064     2    87
   065     2    96
   066     2    35
   067     2    23
   068     2    86
   069     2    50
   070     2    52
   071     2    69
   072     2    65
   073     2    76
   074     2    19
   075     2    63
   076     2    43
   077     2    95
   078     2    32
   079     2    31
   080     2    43
   081     2    19
   082     2    25
   083     2    12
   084     2    53
   085     2    65
   086     2    74
   087     2    94
   088     2    98
   089     2    35
   090     2    59
# Positions of Ifix-items in the format (itemName, stack, level)
   001     2     3
   002     4     3
   003     6     4
   004     9     1
   005    11     1
   006     6     1
   007     3     3
   008     3     4
   009     3     2
   010     6     2
   011     7     2
   012     1     3
   013     4     4
   014     2     1
   015     4     2
   016     1     1
   017     1     4
   018     7     1
   019     6     3
   020     5     2
   021     4     1
   022     2     4
   023     3     1
   024    10     1
   025     8     2
   026     5     1
   027     9     2
   028     5     3
   029     5     4
   030     8     1
   031    10     2
   032     1     2
   033     2     2
