# Number of items
60
# Stacking height
6
# Number of stacks
36
# Item name, Appearance, and Item weight
# (Appearance: 0 for I^{fix}, 1 for I^1, 2 for I^2)
   001     0    25
   002     0    14
   003     0     7
   004     0    47
   005     0    85
   006     0    61
   007     0    16
   008     0    72
   009     0    98
   010     0     5
   011     0    70
   012     0    15
   013     0    28
   014     0    39
   015     0    11
   016     0    45
   017     0    27
   018     0     5
   019     0     7
   020     0    45
   021     0    21
   022     0     7
   023     0     6
   024     0    22
   025     1    84
   026     1    18
   027     1    76
   028     1    96
   029     1    25
   030     1    96
   031     1    65
   032     1    63
   033     1    62
   034     1    14
   035     1    64
   036     1    68
   037     1    66
   038     1    63
   039     1    44
   040     1    60
   041     1    30
   042     1    82
   043     1    86
   044     1    41
   045     2    77
   046     2    89
   047     2    25
   048     2    82
   049     2    23
   050     2    71
   051     2    72
   052     2    82
   053     2     8
   054     2    89
   055     2    26
   056     2    26
   057     2    11
   058     2    21
   059     2    43
   060     2    77
# Positions of Ifix-items in the format (itemName, stack, level)
   001     3     4
   002     1     4
   003     2     2
   004     3     3
   005     8     1
   006     7     1
   007     4     3
   008     3     2
   009     3     1
   010     2     4
   011     1     1
   012     1     3
   013     6     1
   014     1     2
   015     1     5
   016     5     1
   017     7     2
   018     2     3
   019     5     2
   020     4     1
   021     2     1
   022     6     2
   023     5     3
   024     4     2
